שם_ישוב,גיל_0_5,,גיל_6_18,,גיל_19_45,,גיל_46_55,,גיל_56_64,,גיל_65_פלוס,,"סה""כ",,AND,עירוני/ כפרי,מגזר,פריפריה/ מרכז,נפה/ מועצה,נפה,סמל_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,
כפר קיש,65,0,203,0,234,0,116,0,58,0,90,0,766,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,388,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
שדה אילן,103,0,236,0,237,0,75,0,22,0,88,0,761,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,721,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
ארבל,74,0,181,0,248,0,102,0,48,0,99,0,752,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,701,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
לביא,64,0,165,0,273,0,64,0,43,0,110,0,719,0,0,כפרי,יהודי דתי,פריפריה,הגליל התחתון ,כנרת ,585,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
כפר זיתים,72,0,171,0,241,0,60,0,72,0,98,0,714,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,786,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
כפר חיטים,34,0,149,0,241,0,115,0,79,0,92,0,710,0,0,כפרי,יהודי חרדי,פריפריה,הגליל התחתון ,כנרת ,255,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
שרונה,35,0,196,0,199,0,100,0,38,0,108,0,676,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,292,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
אילניה,26,0,106,0,214,0,84,0,76,0,85,0,591,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,49,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
מסד,40,0,92,0,155,0,44,0,58,0,42,0,431,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,1258,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
מצפה,10,0,19,0,45,0,15,0,17,0,41,0,147,0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,כנרת ,58,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
כדורי,5,0,32,0,47,0,9,0,6,0,11,0,110,0,0,כפרי,יהודי,פריפריה,הגליל התחתון ,כנרת ,371,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
הודיות,14,0,20,0,22,0,1,0,3,0,1,0,61,0,0,כפרי,יהודי דתי,פריפריה,הגליל התחתון ,כנרת ,1322,22,כנרת ,22,טבריה ,3,הגליל התחתון ,
מצפה נטופה,153,0,359,0,396,0,84,0,88,0,95,0,"1,175",0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,עפולה ,1190,23,עפולה ,23,עפולה ,3,הגליל התחתון ,
בית רימון,210,0,451,0,370,0,61,0,25,0,33,0,"1,150",0,0,כפרי,#N/A,פריפריה,הגליל התחתון ,עפולה ,1162,23,עפולה ,23,עפולה ,3,הגליל התחתון ,
שייח' דנון,313,0,654,0,"1,367",0,371,0,205,0,192,0,"3,102",0,0,כפרי,ערבי,פריפריה,מטה אשר ,עכו ,658,24,עכו ,24,עכו ,4,מטה אשר ,
גשר הזיו,77,0,424,0,573,0,321,0,184,0,190,0,"1,769",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,574,24,עכו ,24,עכו ,4,מטה אשר ,
עראמשה,183,0,396,0,674,0,187,0,108,0,134,0,"1,682",0,0,כפרי,בדואי,פריפריה,מטה אשר ,עכו ,1246,24,עכו ,24,עכו ,4,מטה אשר ,
כפר ראש הנקרה,84,0,336,0,467,0,262,0,148,0,217,0,"1,514",0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,579,24,עכו ,24,עכו ,4,מטה אשר ,
שבי ציון,117,0,369,0,451,0,248,0,86,0,211,0,"1,482",0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,282,24,עכו ,24,עכו ,4,מטה אשר ,
מצובה,58,0,363,0,403,0,240,0,92,0,174,0,"1,330",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,325,24,עכו ,24,עכו ,4,מטה אשר ,
אילון,92,0,328,0,409,0,211,0,92,0,182,0,"1,314",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,294,24,עכו ,24,עכו ,4,מטה אשר ,
כברי,92,0,283,0,376,0,184,0,101,0,237,0,"1,273",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,576,24,עכו ,24,עכו ,4,מטה אשר ,
רגבה,69,0,231,0,348,0,165,0,78,0,247,0,"1,138",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,390,24,עכו ,24,עכו ,4,מטה אשר ,
בוסתן הגליל,106,0,276,0,382,0,146,0,75,0,132,0,"1,117",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,559,24,עכו ,24,עכו ,4,מטה אשר ,
אחיהוד,126,0,211,0,394,0,116,0,100,0,104,0,"1,051",0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,785,24,עכו ,24,עכו ,4,מטה אשר ,
סער,91,0,261,0,342,0,150,0,88,0,118,0,"1,050",0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,454,24,עכו ,24,עכו ,4,מטה אשר ,
עברון,109,0,199,0,344,0,124,0,54,0,195,0,"1,025",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,376,24,עכו ,24,עכו ,4,מטה אשר ,
חניתה,61,0,212,0,289,0,158,0,88,0,203,0,"1,011",0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,280,24,עכו ,24,עכו ,4,מטה אשר ,
עין המפרץ,72,0,178,0,290,0,145,0,76,0,240,0,"1,001",0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,289,24,עכו ,24,עכו ,4,מטה אשר ,
יסעור,82,0,292,0,286,0,142,0,61,0,113,0,976,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,575,24,עכו ,24,עכו ,4,מטה אשר ,
כליל,95,0,261,0,334,0,136,0,66,0,74,0,966,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,1183,24,עכו ,24,עכו ,4,מטה אשר ,
לוחמי הגיטאות,123,0,226,0,335,0,89,0,50,0,140,0,963,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,595,24,עכו ,24,עכו ,4,מטה אשר ,
יחיעם,60,0,257,0,280,0,148,0,37,0,161,0,943,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,409,24,עכו ,24,עכו ,4,מטה אשר ,
עמקה,103,0,204,0,312,0,99,0,79,0,124,0,921,0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,708,24,עכו ,24,עכו ,4,מטה אשר ,
כפר מסריק,71,0,164,0,309,0,117,0,59,0,164,0,884,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,297,24,עכו ,24,עכו ,4,מטה אשר ,
געתון,66,0,202,0,262,0,118,0,56,0,150,0,854,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,463,24,עכו ,24,עכו ,4,מטה אשר ,
אפק,71,0,212,0,261,0,117,0,40,0,128,0,829,0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,313,24,עכו ,24,עכו ,4,מטה אשר ,
בן עמי,83,0,181,0,273,0,90,0,78,0,121,0,826,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,712,24,עכו ,24,עכו ,4,מטה אשר ,
לימן,56,0,177,0,288,0,120,0,74,0,110,0,825,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,674,24,עכו ,24,עכו ,4,מטה אשר ,
בית העמק,75,0,146,0,247,0,80,0,78,0,162,0,788,0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,572,24,עכו ,24,עכו ,4,מטה אשר ,
שמרת,66,0,167,0,214,0,78,0,45,0,128,0,698,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,432,24,עכו ,24,עכו ,4,מטה אשר ,
אשרת,47,0,140,0,228,0,73,0,65,0,105,0,658,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,1256,24,עכו ,24,עכו ,4,מטה אשר ,
בצת,86,0,135,0,232,0,62,0,43,0,90,0,648,0,0,כפרי,יהודי,פריפריה,מטה אשר ,עכו ,589,24,עכו ,24,עכו ,4,מטה אשר ,
נתיב השיירה,43,0,98,0,191,0,57,0,53,0,104,0,546,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,792,24,עכו ,24,עכו ,4,מטה אשר ,
אדמית,42,0,104,0,157,0,84,0,57,0,92,0,536,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,1068,24,עכו ,24,עכו ,4,מטה אשר ,
נס עמים,41,0,162,0,153,0,82,0,12,0,27,0,477,0,0,כפרי,#N/A,פריפריה,מטה אשר ,עכו ,1143,24,עכו ,24,עכו ,4,מטה אשר ,
פוריה - נווה עובד,187,0,337,0,579,0,163,0,140,0,199,0,"1,605",0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,1105,22,כנרת ,22,טבריה ,6,עמק הירדן ,
פוריה עילית,129,0,299,0,503,0,157,0,123,0,209,0,"1,420",0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,1313,22,כנרת ,22,טבריה ,6,עמק הירדן ,
אפיקים,82,0,250,0,406,0,209,0,114,0,357,0,"1,418",0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,176,22,כנרת ,22,טבריה ,6,עמק הירדן ,
אשדות יעקב (איחוד),78,0,261,0,313,0,167,0,63,0,152,0,"1,034",0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,199,22,כנרת ,22,טבריה ,6,עמק הירדן ,
כנרת (קבוצה),54,0,170,0,287,0,120,0,81,0,177,0,889,0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,57,22,כנרת ,22,טבריה ,6,עמק הירדן ,
אשדות יעקב (מאוחד),61,0,197,0,278,0,124,0,64,0,165,0,889,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,188,22,כנרת ,22,טבריה ,6,עמק הירדן ,
דגניה ב',61,0,173,0,254,0,125,0,82,0,147,0,842,0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,79,22,כנרת ,22,טבריה ,6,עמק הירדן ,
בית זרע,55,0,133,0,283,0,97,0,55,0,193,0,816,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,143,22,כנרת ,22,טבריה ,6,עמק הירדן ,
גינוסר,51,0,148,0,230,0,104,0,54,0,207,0,794,0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,262,22,כנרת ,22,טבריה ,6,עמק הירדן ,
חוקוק,49,0,227,0,221,0,124,0,49,0,105,0,775,0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,374,22,כנרת ,22,טבריה ,6,עמק הירדן ,
כנרת (מושבה),54,0,89,0,254,0,91,0,85,0,131,0,704,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,63,22,כנרת ,22,טבריה ,6,עמק הירדן ,
דגניה א',51,0,111,0,233,0,83,0,59,0,162,0,699,0,0,כפרי,יהודי,פריפריה,עמק הירדן ,כנרת ,62,22,כנרת ,22,טבריה ,6,עמק הירדן ,
עין גב,50,0,116,0,220,0,65,0,64,0,139,0,654,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,273,22,כנרת ,22,טבריה ,6,עמק הירדן ,
שער הגולן,23,0,101,0,176,0,86,0,55,0,180,0,621,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,264,22,כנרת ,22,טבריה ,6,עמק הירדן ,
תל קציר,62,0,135,0,199,0,51,0,37,0,92,0,576,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,719,22,כנרת ,22,טבריה ,6,עמק הירדן ,
אלומות,60,0,124,0,175,0,56,0,34,0,75,0,524,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,330,22,כנרת ,22,טבריה ,6,עמק הירדן ,
מעגן,47,0,75,0,171,0,41,0,34,0,94,0,462,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,678,22,כנרת ,22,טבריה ,6,עמק הירדן ,
אלמגור,36,0,111,0,113,0,80,0,17,0,91,0,448,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,1125,22,כנרת ,22,טבריה ,6,עמק הירדן ,
פוריה - כפר עבודה,39,0,69,0,163,0,43,0,45,0,48,0,407,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,1104,22,כנרת ,22,טבריה ,6,עמק הירדן ,
מסדה,36,0,65,0,151,0,38,0,41,0,72,0,403,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,263,22,כנרת ,22,טבריה ,6,עמק הירדן ,
האון,10,0,15,0,81,0,23,0,18,0,48,0,195,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,702,22,כנרת ,22,טבריה ,6,עמק הירדן ,
רביד,22,0,20,0,58,0,19,0,11,0,0,0,130,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,1225,22,כנרת ,22,טבריה ,6,עמק הירדן ,
כרי דשא,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,כפרי,#N/A,פריפריה,עמק הירדן ,כנרת ,38,22,כנרת ,22,טבריה ,6,עמק הירדן ,
מנחמיה,103,0,221,0,436,0,151,0,121,0,249,0,"1,281",0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,כנרת ,48,22,כנרת ,22,טבריה ,7,עמק המעיינות ,
גשר,57,0,73,0,175,0,51,0,51,0,137,0,544,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,כנרת ,305,22,כנרת ,22,טבריה ,7,עמק המעיינות ,
רשפים,136,0,402,0,416,0,124,0,64,0,103,0,"1,245",0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,437,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
שדה נחום,110,0,316,0,386,0,196,0,72,0,94,0,"1,174",0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,259,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
טירת צבי,122,0,339,0,333,0,88,0,33,0,125,0,"1,040",0,0,כפרי,יהודי דתי,פריפריה,עמק המעיינות ,עפולה ,268,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
ניר דוד (תל עמל),66,0,213,0,277,0,132,0,68,0,186,0,942,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,256,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
שדה אליהו,103,0,179,0,369,0,68,0,68,0,155,0,942,0,0,כפרי,יהודי דתי,פריפריה,עמק המעיינות ,עפולה ,304,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
מירב,109,0,318,0,286,0,75,0,55,0,8,0,851,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,1282,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
מעלה גלבוע,96,0,349,0,276,0,59,0,20,0,50,0,850,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,1127,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
"עין הנצי""ב",101,0,187,0,247,0,49,0,43,0,112,0,739,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,383,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
מעוז חיים,44,0,101,0,258,0,66,0,51,0,128,0,648,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,272,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
תל תאומים,103,0,165,0,239,0,31,0,45,0,50,0,633,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,1283,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
כפר רופין,48,0,144,0,200,0,84,0,29,0,114,0,619,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,295,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
מסילות,50,0,86,0,177,0,52,0,53,0,180,0,598,0,0,כפרי,יהודי,פריפריה,עמק המעיינות ,עפולה ,298,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
שדי תרומות,69,0,100,0,200,0,75,0,67,0,63,0,574,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,2057,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
שלוחות,78,0,116,0,168,0,18,0,50,0,113,0,543,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,439,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
נווה אור,46,0,99,0,174,0,53,0,46,0,94,0,512,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,590,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
בית יוסף,52,0,86,0,192,0,55,0,58,0,68,0,511,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,265,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
חמדיה,50,0,99,0,156,0,61,0,26,0,94,0,486,0,0,כפרי,יהודי,פריפריה,עמק המעיינות ,עפולה ,343,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
רחוב,49,0,82,0,178,0,61,0,40,0,69,0,479,0,0,כפרי,יהודי דתי,פריפריה,עמק המעיינות ,עפולה ,854,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
ירדנה,44,0,103,0,153,0,48,0,35,0,54,0,437,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,2026,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
רוויה,39,0,112,0,136,0,62,0,21,0,42,0,412,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,2016,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
נווה איתן,36,0,35,0,98,0,31,0,17,0,67,0,284,0,0,כפרי,יהודי,פריפריה,עמק המעיינות ,עפולה ,296,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
מיטל,22,0,21,0,30,0,0,0,2,0,0,0,75,0,0,כפרי,#N/A,פריפריה,עמק המעיינות ,עפולה ,1154,23,עפולה ,23,עפולה ,7,עמק המעיינות ,
מוקייבלה,587,0,"1,182",0,"1,894",0,468,0,253,0,205,0,"4,589",0,0,כפרי,ערבי,פריפריה,הגלבוע ,עפולה ,635,23,עפולה ,23,עפולה ,8,הגלבוע ,
גן נר,184,0,564,0,"1,096",0,407,0,355,0,291,0,"2,897",0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,1274,23,עפולה ,23,עפולה ,8,הגלבוע ,
נאעורה,287,0,692,0,"1,060",0,259,0,153,0,134,0,"2,585",0,0,כפרי,ערבי,פריפריה,הגלבוע ,עפולה ,524,23,עפולה ,23,עפולה ,8,הגלבוע ,
טייבה (בעמק),255,0,494,0,882,0,198,0,116,0,103,0,"2,048",0,0,כפרי,ערבי,פריפריה,הגלבוע ,עפולה ,497,23,עפולה ,23,עפולה ,8,הגלבוע ,
צנדלה,210,0,430,0,791,0,204,0,158,0,175,0,"1,968",0,0,כפרי,ערבי,פריפריה,הגלבוע ,עפולה ,636,23,עפולה ,23,עפולה ,8,הגלבוע ,
טמרה (יזרעאל),172,0,438,0,706,0,197,0,101,0,103,0,"1,717",0,0,כפרי,ערבי,פריפריה,הגלבוע ,עפולה ,547,23,עפולה ,23,עפולה ,8,הגלבוע ,
בית השיטה,94,0,360,0,417,0,249,0,124,0,311,0,"1,555",0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,242,23,עפולה ,23,עפולה ,8,הגלבוע ,
בית אלפא,139,0,280,0,501,0,124,0,100,0,220,0,"1,364",0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,95,23,עפולה ,23,עפולה ,8,הגלבוע ,
מולדת,63,0,300,0,414,0,205,0,94,0,147,0,"1,223",0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,269,23,עפולה ,23,עפולה ,8,הגלבוע ,
כפר יחזקאל,116,0,309,0,392,0,172,0,57,0,149,0,"1,195",0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,85,23,עפולה ,23,עפולה ,8,הגלבוע ,
רם-און,48,0,244,0,292,0,185,0,106,0,102,0,977,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,1069,23,עפולה ,23,עפולה ,8,הגלבוע ,
עין חרוד (מאוחד),69,0,191,0,285,0,141,0,73,0,215,0,974,0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,82,23,עפולה ,23,עפולה ,8,הגלבוע ,
חבר,135,0,248,0,353,0,98,0,59,0,36,0,929,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,1110,23,עפולה ,23,עפולה ,8,הגלבוע ,
חפצי-בה,60,0,223,0,274,0,127,0,62,0,167,0,913,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,90,23,עפולה ,23,עפולה ,8,הגלבוע ,
אומן,104,0,192,0,320,0,97,0,61,0,74,0,848,0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,1108,23,עפולה ,23,עפולה ,8,הגלבוע ,
יזרעאל,47,0,148,0,197,0,130,0,62,0,219,0,803,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,452,23,עפולה ,23,עפולה ,8,הגלבוע ,
מגן שאול,91,0,236,0,254,0,88,0,31,0,99,0,799,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,1155,23,עפולה ,23,עפולה ,8,הגלבוע ,
רמת צבי,84,0,205,0,231,0,101,0,44,0,109,0,774,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,339,23,עפולה ,23,עפולה ,8,הגלבוע ,
עין חרוד (איחוד),39,0,142,0,196,0,93,0,69,0,188,0,727,0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,89,23,עפולה ,23,עפולה ,8,הגלבוע ,
ניר יפה,53,0,204,0,229,0,122,0,28,0,88,0,724,0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,165,23,עפולה ,23,עפולה ,8,הגלבוע ,
גבע,45,0,124,0,228,0,79,0,68,0,158,0,702,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,86,23,עפולה ,23,עפולה ,8,הגלבוע ,
תל יוסף,61,0,152,0,160,0,86,0,37,0,110,0,606,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,84,23,עפולה ,23,עפולה ,8,הגלבוע ,
אביטל,44,0,140,0,209,0,73,0,47,0,90,0,603,0,0,כפרי,יהודי דתי,פריפריה,הגלבוע ,עפולה ,2052,23,עפולה ,23,עפולה ,8,הגלבוע ,
גדעונה,66,0,147,0,198,0,61,0,27,0,52,0,551,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,442,23,עפולה ,23,עפולה ,8,הגלבוע ,
מיטב,52,0,103,0,190,0,62,0,48,0,65,0,520,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,2054,23,עפולה ,23,עפולה ,8,הגלבוע ,
פרזון,49,0,92,0,146,0,45,0,50,0,65,0,447,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,2053,23,עפולה ,23,עפולה ,8,הגלבוע ,
ברק,29,0,66,0,131,0,49,0,39,0,81,0,395,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,141,23,עפולה ,23,עפולה ,8,הגלבוע ,
גדיש,32,0,66,0,132,0,54,0,51,0,48,0,383,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,145,23,עפולה ,23,עפולה ,8,הגלבוע ,
מלאה,31,0,76,0,135,0,46,0,30,0,56,0,374,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,164,23,עפולה ,23,עפולה ,8,הגלבוע ,
אדירים,26,0,78,0,119,0,53,0,30,0,47,0,353,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,113,23,עפולה ,23,עפולה ,8,הגלבוע ,
דבורה,36,0,67,0,108,0,33,0,27,0,66,0,337,0,0,כפרי,יהודי,פריפריה,הגלבוע ,עפולה ,146,23,עפולה ,23,עפולה ,8,הגלבוע ,
נורית,24,0,93,0,97,0,35,0,10,0,13,0,272,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,833,23,עפולה ,23,עפולה ,8,הגלבוע ,
יעל,2,0,3,0,16,0,3,0,7,0,1,0,32,0,0,כפרי,#N/A,פריפריה,הגלבוע ,עפולה ,1117,23,עפולה ,23,עפולה ,8,הגלבוע ,
אחוזת ברק,181,0,683,0,930,0,421,0,271,0,205,0,"2,691",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,1330,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
שמשית,71,0,562,0,911,0,569,0,323,0,100,0,"2,536",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,1337,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
הושעיה,181,0,604,0,768,0,249,0,208,0,183,0,"2,193",0,0,כפרי,יהודי דתי,פריפריה,עמק יזרעאל ,עפולה ,1186,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
גבעת אלה,140,0,451,0,654,0,239,0,217,0,410,0,"2,111",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,1288,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
תמרת,147,0,267,0,478,0,153,0,152,0,378,0,"1,575",0,0,כפרי,#N/A,פריפריה,עמק יזרעאל ,עפולה ,1244,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
מרחביה (קיבוץ),104,0,355,0,436,0,222,0,95,0,232,0,"1,444",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,66,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
עין דור,105,0,324,0,401,0,185,0,122,0,272,0,"1,409",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,436,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
תל עדשים,98,0,375,0,417,0,236,0,111,0,120,0,"1,357",0,0,כפרי,#N/A,פריפריה,עמק יזרעאל ,עפולה ,103,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
נהלל,157,0,314,0,461,0,144,0,92,0,174,0,"1,342",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,80,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
יפעת,86,0,322,0,374,0,217,0,87,0,230,0,"1,316",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,134,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
כפר יהושע,101,0,294,0,413,0,198,0,127,0,157,0,"1,290",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,140,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
אלון הגליל,91,0,284,0,438,0,141,0,163,0,128,0,"1,245",0,0,כפרי,#N/A,פריפריה,עמק יזרעאל ,עפולה ,1182,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
שריד,60,0,278,0,293,0,180,0,101,0,259,0,"1,171",0,0,כפרי,יהודי,פריפריה,עמק יזרעאל ,עפולה ,126,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
שדה יעקב,96,0,324,0,344,0,136,0,63,0,131,0,"1,094",0,0,כפרי,יהודי דתי,פריפריה,עמק יזרעאל ,עפולה ,142,23,עפולה ,23,עפולה ,9,עמק יזרעאל ,
